,source,name,cluster_id_real
592,regalkia.com,stock,3_stock_number
593,fairfaxhyundai.com,stock,3_stock_number
594,justaskforjeff.com,stock,3_stock_number
597,budsgunshop.com,stock,3_stock_number
598,mcclaryforddirect.com,stock,3_stock_number
601,sethwadleyford.com,stock,3_stock_number
602,adachevy.com,stock,3_stock_number
603,billdube.com,stock,3_stock_number
605,kiaofmurfreesboro.com,stock,3_stock_number
606,parkcitiesfordofdallas.com,stock,3_stock_number
607,leasetrader.com,stock,3_stock_number
609,49thstreetautosales.com,stock #,3_stock_number
610,5starautotampa.com,stock #,3_stock_number
611,700carconnection.com,stock #,3_stock_number
612,adachevy.com,stock #,3_stock_number
614,amazingdealsautos.com,stock #,3_stock_number
615,andersonfordsc.com,stock #,3_stock_number
616,andycothernautosales.com,stock #,3_stock_number
619,arkautosales.com,stock #,3_stock_number
620,ashevilleford.com,stock #,3_stock_number
622,augustaautoandtrucksales.com,stock #,3_stock_number
624,bbt-inc.com,stock #,3_stock_number
625,beltonautocredit.com,stock #,3_stock_number
626,bishopmotorsportsinc.com,stock #,3_stock_number
629,budgetautoandtrucksales.com,stock #,3_stock_number
631,canadaautosales.net,stock #,3_stock_number
632,candjoftampa.com,stock #,3_stock_number
633,capitalcityautosalesfl.com,stock #,3_stock_number
634,cardealsautosales.com,stock #,3_stock_number
636,carpointoforlando.com,stock #,3_stock_number
637,carsincstore.com,stock #,3_stock_number
638,carsrusofaugusta.com,stock #,3_stock_number
639,cervantesauto.com,stock #,3_stock_number
641,cherokeeautogroup.com,stock #,3_stock_number
642,cmorecars.com,stock #,3_stock_number
643,demontrond.com,stock #,3_stock_number
644,dillonautosales.net,stock #,3_stock_number
645,eagleautos.net,stock #,3_stock_number
646,earlleeautosales.com,stock #,3_stock_number
647,eazyrideautosales.com,stock #,3_stock_number
648,extremeautoworld.com,stock #,3_stock_number
649,fairfaxhyundai.com,stock #,3_stock_number
650,foremanmotorsinc.com,stock #,3_stock_number
651,gdow2.com,stock #,3_stock_number
652,georgiamotors.net,stock #,3_stock_number
653,goebelsusedcars.com,stock #,3_stock_number
654,goodwheelsautoga.com,stock #,3_stock_number
655,greencornerautopark.com,stock #,3_stock_number
656,greenwayford.com,stock #,3_stock_number
657,hallmarkautosales.com,stock #,3_stock_number
658,hammontonauto.com,stock #,3_stock_number
660,hevenerscars.com,stock #,3_stock_number
661,huntersvilleford.com,stock #,3_stock_number
662,hydeparkautosales.com,stock #,3_stock_number
663,importaat.com,stock #,3_stock_number
664,irbyautosales.com,stock #,3_stock_number
665,jackmillerautoplaza.net,stock #,3_stock_number
666,justaskforjeff.com,stock #,3_stock_number
668,langfordent.com,stock #,3_stock_number
669,langfordsqualitycars.com,stock #,3_stock_number
670,laurelmotorsllc.com,stock #,3_stock_number
671,liveoaktruckcenter.com,stock #,3_stock_number
673,middlemansav.com,stock #,3_stock_number
674,myautomax.com,stock #,3_stock_number
676,pensacolaautobrokers4u.com,stock #,3_stock_number
677,pensacolaautomart.com,stock #,3_stock_number
678,pugmire.com,stock #,3_stock_number
679,pugmirefordcarrollton.com,stock #,3_stock_number
680,pugmirefordcartersville.com,stock #,3_stock_number
682,randrsalesinconline.com,stock #,3_stock_number
683,raysusedcars.com,stock #,3_stock_number
684,rustyeckford.com,stock #,3_stock_number
685,saveatmorgans.com,stock #,3_stock_number
687,sethwadleyford.com,stock #,3_stock_number
689,skillmansautosales.com,stock #,3_stock_number
690,southernwholesalecars.com,stock #,3_stock_number
691,southsideautosales.net,stock #,3_stock_number
692,southsidemotorco.com,stock #,3_stock_number
693,supercarsautosales.com,stock #,3_stock_number
694,taylorscars.com,stock #,3_stock_number
695,thebestdealautos.com,stock #,3_stock_number
696,troyhambycars.com,stock #,3_stock_number
697,veteransfordtampa.com,stock #,3_stock_number
698,vizionauto.com,stock #,3_stock_number
699,waltwilliamsinc.com,stock #,3_stock_number
703,yesautomotivedublin.com,stock #,3_stock_number
704,mayhallautosales.com,stock #,3_stock_number
705,allensamuelsdirect.com,stock #,3_stock_number
706,aandeauto.com,stock #,3_stock_number
707,carsoftampainc.com,stock #,3_stock_number
708,regalhonda.com,stock #,3_stock_number
709,regalkia.com,stock #,3_stock_number
710,dnkautosalesllc.com,stock #,3_stock_number
711,stanthompsonautosales.com,stock #,3_stock_number
712,tandwmotor.com,stock #,3_stock_number
713,tandwmotors.com,stock #,3_stock_number
715,gordonautowholesale.com,stock #,3_stock_number
716,lbmotorsaugusta.com,stock #,3_stock_number
719,vanscarsandtrucks.net,stock #,3_stock_number
720,autoflex.com,stock #,3_stock_number
722,linearcars.com,stock #,3_stock_number
724,defoellerautosales.com,stock #,3_stock_number
725,hwy321auto.com,stock #,3_stock_number
726,jacobsautorockingham.com,stock #,3_stock_number
727,a5kusedcars.com,stock #,3_stock_number
728,bernardcars.com,stock #,3_stock_number
729,candcmotorco.com,stock #,3_stock_number
730,automobilesofdistinction.com,stock #,3_stock_number
731,agnauto.com,stock #,3_stock_number
732,adamsmotorcompanyinc.org,stock #,3_stock_number
733,firstchoiceautosohio.com,stock #,3_stock_number
734,charlotteautosales.com,stock #,3_stock_number
735,sunsetautosalesandclassics.net,stock #,3_stock_number
736,allensamuels.com,stock #,3_stock_number
738,metromotorsalesinc.com,stock #,3_stock_number
739,agnautogallery.com,stock #,3_stock_number
740,rainbowmotorsinc.com,stock #,3_stock_number
742,baldwinautomotive.com,stock #,3_stock_number
744,floridainternetcars.com,stock #,3_stock_number
745,theprestigegallery.com,stock #,3_stock_number
747,happyautomart.com,stock #,3_stock_number
748,slcenterprisesinc.com,stock #,3_stock_number
749,southcentraltrucksales.com,stock #,3_stock_number
753,mamascarcity.com,stock #,3_stock_number
755,buyford.com,stock #,3_stock_number
756,drivecrescent.com,stock #,3_stock_number
757,bosautosales.com,stock #,3_stock_number
758,mtncountryauto.com,stock #,3_stock_number
759,unitedautosalesoffortpierce.com,stock #,3_stock_number
760,lumpysautosales.com,stock #,3_stock_number
761,rainwatermotorco.com,stock #,3_stock_number
762,driverschoiceanniston.com,stock #,3_stock_number
763,sefleet.com,stock #,3_stock_number
764,satillamotors.com,stock #,3_stock_number
765,galeriaautomart.com,stock #,3_stock_number
768,guysautomotive.net,stock #,3_stock_number
769,burnoutsofasheville.com,stock #,3_stock_number
770,moultonmotors.com,stock #,3_stock_number
771,highwaymotorsonline.com,stock #,3_stock_number
772,lakeviewautos.com,stock #,3_stock_number
773,mooreautomotivesc.com,stock #,3_stock_number
774,lovittmotorcompany.com,stock #,3_stock_number
777,gatewayautosalesjax.com,stock #,3_stock_number
779,republicautocredit.com,stock #,3_stock_number
781,896-6222.com,stock #,3_stock_number
782,westsidekia.com,stock #,3_stock_number
783,thecarriagecompany.net,stock #,3_stock_number
784,ezpaycars.com,stock #,3_stock_number
785,wildwoodautomart.com,stock #,3_stock_number
786,bino.pl,symbol producenta,3_producer_code
789,fashioneyewear.co.uk,temple length,3_temple_length
790,fashioneyewear.com,temple length,3_temple_length
791,northernautoparts.com,thickness (in),3_thickness
794,jegs.com,valve lift,3_valve_lift
795,andersonfordsc.com,vin,3_vin
797,pugmirefordcarrollton.com,vin,3_vin
799,pugmirefordcartersville.com,vin,3_vin
800,rustyeckford.com,vin,3_vin
801,justaskforjeff.com,vin,3_vin
804,baldwinautomotive.com,vin,3_vin
806,allensamuels.com,vin,3_vin
807,veteransfordtampa.com,vin,3_vin
808,greenwayford.com,vin,3_vin
809,allensamuelsdirect.com,vin,3_vin
810,canadaautosales.net,vin,3_vin
811,buyford.com,vin,3_vin
812,huntersvilleford.com,vin,3_vin
813,mcclaryforddirect.com,vin,3_vin
814,southcentraltrucksales.com,vin,3_vin
815,saveatmorgans.com,vin,3_vin
816,usedmotorcycles.net,vin,3_vin
818,demontrond.com,vin,3_vin
819,adachevy.com,vin,3_vin
820,ashevilleford.com,vin,3_vin
821,lovittmotorcompany.com,vin,3_vin
822,leasetrader.com,vin,3_vin
823,sethwadleyford.com,vin,3_vin
824,regalkia.com,vin,3_vin
825,regalhonda.com,vin,3_vin
826,pugmire.com,vin,3_vin
827,firstchoiceautosohio.com,vin,3_vin
829,autoflex.com,vin,3_vin
832,fairfaxhyundai.com,vin,3_vin
833,westsidekia.com,vin #,3_vin
836,customwheelsexpress.com,width,3_width
838,restockit.com,width,3_width
839,ontimesupplies.com,width,3_width
840,warnersstellian.com,width,3_width
842,partstown.com,width,3_width
843,ventaneumaticos.com,width,3_width
844,electricautomationnetwork.com,width,3_width
845,cookersandovens.co.uk,width,3_width
847,gamrentals.com,width,3_width
855,leasetrader.com,1st row upholstery,4_1st_row_upholstery
856,crutchfield.com,box color,4_box_color
859,ashevilleford.com,int color,4_interior_color
860,huntersvilleford.com,int color,4_interior_color
861,allensamuelsdirect.com,int color,4_interior_color
862,adachevy.com,int color,4_interior_color
864,andersonfordsc.com,int color,4_interior_color
865,allensamuels.com,int color,4_interior_color
866,veteransfordtampa.com,int color,4_interior_color
867,sethwadleyford.com,int color,4_interior_color
868,justaskforjeff.com,int color,4_interior_color
872,700carconnection.com,interior color,4_interior_color
873,896-6222.com,interior color,4_interior_color
875,andycothernautosales.com,interior color,4_interior_color
878,budgetautoandtrucksales.com,interior color,4_interior_color
881,candjoftampa.com,interior color,4_interior_color
883,driverschoiceanniston.com,interior color,4_interior_color
884,gdow2.com,interior color,4_interior_color
886,langfordent.com,interior color,4_interior_color
887,langfordsqualitycars.com,interior color,4_interior_color
889,mooreautomotivesc.com,interior color,4_interior_color
890,taylorscars.com,interior color,4_interior_color
892,unitedautosalesoffortpierce.com,interior color,4_interior_color
893,vizionauto.com,interior color,4_interior_color
895,yesautomotivedublin.com,interior color,4_interior_color
897,troyhambycars.com,interior color,4_interior_color
898,happyautomart.com,interior color,4_interior_color
900,moultonmotors.com,interior color,4_interior_color
902,jackmillerautoplaza.net,interior color,4_interior_color
904,foremanmotorsinc.com,interior color,4_interior_color
906,demontrond.com,interior color,4_interior_color
907,buyford.com,interior color,4_interior_color
908,theprestigegallery.com,interior color,4_interior_color
909,myautomax.com,interior color,4_interior_color
910,canadaautosales.net,interior color,4_interior_color
911,waltwilliamsinc.com,interior color,4_interior_color
912,hwy321auto.com,interior color,4_interior_color
913,drivecrescent.com,interior color,4_interior_color
914,thecarriagecompany.net,interior color,4_interior_color
915,bishopmotorsportsinc.com,interior color,4_interior_color
916,burnoutsofasheville.com,interior color,4_interior_color
917,hammontonauto.com,interior color,4_interior_color
918,beltonautocredit.com,interior color,4_interior_color
919,hydeparkautosales.com,interior color,4_interior_color
920,slcenterprisesinc.com,interior color,4_interior_color
921,hevenerscars.com,interior color,4_interior_color
922,stanthompsonautosales.com,interior color,4_interior_color
923,republicautocredit.com,interior color,4_interior_color
924,cherokeeautogroup.com,interior color,4_interior_color
925,carsoftampainc.com,interior color,4_interior_color
926,lbmotorsaugusta.com,interior color,4_interior_color
927,charlotteautosales.com,interior color,4_interior_color
928,amazingdealsautos.com,interior color,4_interior_color
929,importaat.com,interior color,4_interior_color
930,laurelmotorsllc.com,interior color,4_interior_color
931,bosautosales.com,interior color,4_interior_color
932,49thstreetautosales.com,interior color,4_interior_color
933,5starautotampa.com,interior color,4_interior_color
934,a5kusedcars.com,interior color,4_interior_color
935,cmorecars.com,interior color,4_interior_color
936,lovittmotorcompany.com,interior color,4_interior_color
937,bernardcars.com,interior color,4_interior_color
938,mamascarcity.com,interior color,4_interior_color
939,supercarsautosales.com,interior color,4_interior_color
940,irbyautosales.com,interior color,4_interior_color
941,cardealsautosales.com,interior color,4_interior_color
942,thebestdealautos.com,interior color,4_interior_color
943,floridainternetcars.com,interior color,4_interior_color
944,baldwinautomotive.com,interior color,4_interior_color
945,lakeviewautos.com,interior color,4_interior_color
946,agnautogallery.com,interior color,4_interior_color
948,liveoaktruckcenter.com,interior color,4_interior_color
949,linearcars.com,interior color,4_interior_color
952,agnauto.com,interior color,4_interior_color
953,galeriaautomart.com,interior color,4_interior_color
954,eagleautos.net,interior color,4_interior_color
957,49thstreetautosales.com,fuel,5_fuel
958,700carconnection.com,fuel,5_fuel
959,896-6222.com,fuel,5_fuel
960,a5kusedcars.com,fuel,5_fuel
961,aandeauto.com,fuel,5_fuel
962,agnauto.com,fuel,5_fuel
963,agnautogallery.com,fuel,5_fuel
964,amazingdealsautos.com,fuel,5_fuel
965,andycothernautosales.com,fuel,5_fuel
968,arkautosales.com,fuel,5_fuel
970,beltonautocredit.com,fuel,5_fuel
971,bernardcars.com,fuel,5_fuel
972,bosautosales.com,fuel,5_fuel
973,burnoutsofasheville.com,fuel,5_fuel
975,candjoftampa.com,fuel,5_fuel
976,carsrusofaugusta.com,fuel,5_fuel
977,charlotteautosales.com,fuel,5_fuel
978,cherokeeautogroup.com,fuel,5_fuel
979,cmorecars.com,fuel,5_fuel
